symbol,base_asset,quote_asset,contract_type,underlying_type,exchange_tags,sector_l3,sector_l3_kr,subcat_code,subcat_kr,asset_class,last_price,change_24h_pct,quote_volume_24h,liquidity_tier,volatility_grade,listing_age,onboard_date
1000PEPEUSDT,1000PEPE,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.0031115,18.896,464951347.0918962,T2,EXTREME,LEGACY,2023-05-05
CRCLUSDT,CRCL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-CRYPTOEQ,크립토 연관주,주식,81.7,12.986,411408656.4245,T2,HIGH,NEW,2026-02-09
SAMSUNGUSDT,SAMSUNG,USDT,TRADIFI_PERPETUAL,KR_EQUITY,TradFi,TRADFI,전통금융,TF-KR,한국 주식 · ETF,주식(한국),188.09,0.901,376045819.818,T2,LOW,NEW,2026-06-02
MSTRUSDT,MSTR,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-CRYPTOEQ,크립토 연관주,주식,113.66,21.302,371738906.2166,T2,EXTREME,NEW,2026-02-09
DRAMUSDT,DRAM,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,55.47,-2.376,361981339.3728,T2,LOW,NEW,2026-05-18
TRUMPUSDT,TRUMP,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Political-Meme,Political-Meme,암호화폐,1.652,17.08,358458096.4185,T2,EXTREME,MID,2025-01-18
LINKUSDT,LINK,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,Oracle,Oracle,암호화폐,10.535,8.107,351961068.964,T2,HIGH,LEGACY,2020-01-17
MRVLUSDT,MRVL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,229.88,-4.843,350860622.6455,T2,MID,NEW,2026-05-15
BZUSDT,BZ,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-EN,에너지 원자재 (원유·가스),원자재,92.42,3.101,333648820.2367,T2,MID,NEW,2026-04-01
BOMEUSDT,BOME,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.0012213,60.087,306669091.8716971,T2,EXTREME,MID,2024-03-16
SUIUSDT,SUI,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.7187,9.408,290575734.68883,T2,HIGH,LEGACY,2023-05-03
PUMPUSDT,PUMP,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,밈코인,밈코인,암호화폐,0.003412,13.733,277438846.949098,T2,HIGH,MID,2025-07-10
ADAUSDT,ADA,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.1902,8.81,266305801.0075,T2,HIGH,LEGACY,2020-01-31
WLDUSDT,WLD,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,Identity,Identity,암호화폐,0.3598,12.017,256990867.2372,T2,HIGH,LEGACY,2023-07-24
REUSDT,RE,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.5239,23.068,251482860.3827,T2,EXTREME,NEW,2026-06-18
XRPUSDC,XRP,USDC,PERPETUAL,COIN,USDC,PAY,결제,Payments,Payments,암호화폐,1.1856,17.806,220687244.8619,T2,EXTREME,MID,2024-01-03
HEMIUSDT,HEMI,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.009325,-2.007,217045706.097073,T2,LOW,NEW,2025-08-29
PAXGUSDT,PAXG,USDT,PERPETUAL,COIN,RWA,RWA,실물자산/토큰증권,RWA-COMM,토큰화 원자재(금),암호화폐,4442.08,1.426,213905863.9389,T2,LOW,MID,2025-03-27
ACEUSDT,ACE,USDT,PERPETUAL,COIN,Gaming,GAME,게임/메타버스/NFT,GameFi,GameFi,암호화폐,0.22204,5.557,205348137.966046,T2,MID,MID,2023-12-18
QQQUSDT,QQQ,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-IDX,지수 ETF,주식(ETF),710.54,-1.256,186454458.8799,T3,LOW,NEW,2026-04-06
AVAXUSDT,AVAX,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,6.809,7.465,184852559.551,T3,HIGH,LEGACY,2020-09-23
ENAUSDT,ENA,USDT,PERPETUAL,COIN,DeFi,STABLE,스테이블코인,Synthetic-Dollar,Synthetic-Dollar,암호화폐,0.0993,17.71,182998704.90174,T3,EXTREME,MID,2024-04-02
NBISUSDT,NBIS,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,219.42,-8.092,175602397.4151,T3,HIGH,NEW,2026-05-26
MUUUSDT,MUU,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-EQ-OTHER,개별주 · 기타(확인필요),주식,28.75,-7.705,175371776.2533,T3,HIGH,NEW,2026-07-16
EWYUSDT,EWY,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-SECTOR,섹터 · 국가 ETF,주식(ETF),174.75,-1.288,170920329.3354,T3,LOW,NEW,2026-03-16
INTCUSDT,INTC,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,90.99,-5.876,160640551.2574,T3,MID,NEW,2026-02-02
TAOUSDT,TAO,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Infra,AI-Infra,암호화폐,208.53,7.968,149493778.44,T3,HIGH,MID,2024-04-11
LITUSDT,LIT,USDT,PERPETUAL,COIN,DeFi,INFRA,인프라,Identity,Identity,암호화폐,2.704,16.131,148419936.42049,T3,EXTREME,NEW,2025-12-23
NEARUSDT,NEAR,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,1.72,5.911,147548632.908,T3,MID,LEGACY,2020-10-15
BCHUSDT,BCH,USDT,PERPETUAL,COIN,Payment,L1,레이어1,PoW-L1,PoW-L1,암호화폐,215.41,5.459,147316926.89,T3,MID,LEGACY,2019-12-19
UNIUSDT,UNI,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,DEX,DEX,암호화폐,3.674,8.41,145437704.937,T3,HIGH,LEGACY,2020-09-18
MVLLUSDT,MVLL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,29.03,-9.423,136976709.329,T3,HIGH,NEW,2026-06-29
NVDAUSDT,NVDA,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,216.98,-1.686,121559782.5099,T3,LOW,NEW,2026-03-26
MAGMAUSDT,MAGMA,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.2283,29.385,121398434.06081,T3,EXTREME,NEW,2025-12-31
MUBARAKUSDT,MUBARAK,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,밈코인,밈코인,암호화폐,0.0198,3.611,119700185.49135,T3,MID,MID,2025-03-17
UNITREEUSDT,UNITREE,USDT,TRADIFI_PERPETUAL,CN_EQUITY,TradFi,TRADFI,전통금융,TF-CN,중국 비상장 · 신흥,주식(중화권),97.58,-16.953,118616574.1948,T3,EXTREME,NEW,2026-08-19
BEATUSDT,BEAT,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.1322,-33.999,117482068.7383,T3,EXTREME,NEW,2025-11-12
ASTERUSDT,ASTER,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.6477,7.986,116854088.4437,T3,HIGH,NEW,2025-09-19
ONDOUSDT,ONDO,USDT,PERPETUAL,COIN,DeFi,RWA,실물자산/토큰증권,RWA-INFRA,RWA 인프라·발행체인,암호화폐,0.3488,6.634,116203966.74935,T3,MID,MID,2024-01-20
AAVEUSDT,AAVE,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,Lending,Lending,암호화폐,96.98,8.345,115314162.2,T3,HIGH,LEGACY,2020-10-16
BNBUSDC,BNB,USDC,PERPETUAL,COIN,USDC,L1,레이어1,Exchange-L1,Exchange-L1,암호화폐,640.06,5.995,114680769.569,T3,MID,MID,2024-01-03
TSLAUSDT,TSLA,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,344.88,2.217,106779519.0831,T3,LOW,NEW,2026-01-28
ETHU,ETH,U,PERPETUAL,COIN,Layer-1,MAJOR,메이저,Ethereum,Ethereum,암호화폐,2273.48,18.046,100615448.89,T3,EXTREME,NEW,2026-07-01
XLMUSDT,XLM,USDT,PERPETUAL,COIN,Layer-2,PAY,결제,Payments,Payments,암호화폐,0.18065,14.925,97977584.73925,T3,HIGH,LEGACY,2020-01-20
BTCUSD1,BTC,USD1,PERPETUAL,COIN,-,MAJOR,메이저,Bitcoin,Bitcoin,암호화폐,71691.6,10.949,94355738.06,T3,HIGH,NEW,2026-05-18
GPSUSDT,GPS,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,인프라,인프라,암호화폐,0.011524,-5.105,89394727.438313,T3,MID,MID,2025-02-17
USDCUSDT,USDC,USDT,PERPETUAL,COIN,-,STABLE,스테이블코인,Stablecoin,Stablecoin,암호화폐,1.00016,-0.003,87164347.909249,T3,LOW,LEGACY,2023-03-12
LTCUSDT,LTC,USDT,PERPETUAL,COIN,Payment,L1,레이어1,PoW-L1,PoW-L1,암호화폐,47.19,5.1,85726478.76,T3,MID,LEGACY,2020-01-09
FILUSDT,FIL,USDT,PERPETUAL,COIN,Storage,DEPIN,DePIN,Storage,Storage,암호화폐,0.688,7.399,83000233.90198,T3,HIGH,LEGACY,2020-10-16
GOOGLUSDT,GOOGL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,342.08,-0.12,82958481.5788,T3,LOW,NEW,2026-03-26
AXTIUSDT,AXTI,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,71.88,-14.581,82391971.8974,T3,HIGH,NEW,2026-06-08
TREEUSDT,TREE,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.03578,3.59,82270432.19555,T3,MID,MID,2025-07-29
AAOIUSDT,AAOI,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,119.97,-12.399,81009746.5491,T3,HIGH,NEW,2026-06-08
XAUTUSDT,XAUT,USDT,PERPETUAL,COIN,RWA,RWA,실물자산/토큰증권,RWA-COMM,토큰화 원자재(금),암호화폐,4436.79,1.542,80769126.37,T3,LOW,NEW,2026-03-26
COINUSDT,COIN,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-CRYPTOEQ,크립토 연관주,주식,168.4,14.511,78959704.2421,T3,HIGH,NEW,2026-02-09
TRXUSDT,TRX,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.33745,1.498,74261279.84265,T3,LOW,LEGACY,2020-01-15
SPYUSDT,SPY,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-IDX,지수 ETF,주식(ETF),765.31,-0.53,73781431.9476,T3,LOW,NEW,2026-04-06
REDUSDT,RED,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,Oracle,Oracle,암호화폐,0.1074,22.323,72730792.2969,T3,EXTREME,MID,2025-03-06
